previous,age,education,gender,children
No,41,secondary,Female,0
No,62,primary,Female,1
No,30,primary,Male,0
No,39,tertiary,Male,0
No,32,secondary,Male,0
No,59,secondary,Male,1
No,35,secondary,Male,0
No,20,primary,Male,0
No,35,tertiary,Male,0
No,48,tertiary,Male,1
No,47,primary,Male,0
No,33,unknown,Male,0
No,60,tertiary,Male,1
No,47,secondary,Male,0
No,28,tertiary,Male,0
No,48,tertiary,Male,0
No,40,secondary,Female,0
No,53,secondary,Female,1
No,36,tertiary,Female,0
No,46,unknown,Female,0
No,22,tertiary,Female,0
No,25,primary,Female,0
No,49,secondary,Female,3
No,35,primary,Female,0
No,44,primary,Female,1
No,51,secondary,Female,1
No,45,tertiary,Female,1
No,46,unknown,Female,1
No,42,unknown,Female,1
No,32,primary,Female,0
No,48,primary,Female,0
No,31,tertiary,Female,0
No,27,tertiary,Female,0
No,45,tertiary,Female,3
No,50,unknown,Female,1
No,56,tertiary,Female,1
Yes,31,tertiary,Female,0
No,33,tertiary,Female,0
No,32,unknown,Female,0
No,37,tertiary,Female,0
No,35,unknown,Female,0
No,29,primary,Female,0
No,44,primary,Female,3
No,47,tertiary,Female,2
No,39,secondary,Female,0
Yes,58,primary,Female,2
No,41,tertiary,Female,2
No,45,tertiary,Female,1
No,43,tertiary,Female,3
No,44,tertiary,Female,0
Yes,35,tertiary,Female,0
No,41,tertiary,Female,0
No,30,unknown,Female,0
No,46,primary,Female,1
No,58,tertiary,Female,1
No,33,primary,Female,0
No,48,tertiary,Female,0
No,62,secondary,Female,3
No,41,primary,Female,1
No,27,secondary,Female,0
No,53,primary,Female,1
No,40,secondary,Female,1
No,41,secondary,Female,1
No,26,secondary,Female,0
No,33,tertiary,Female,2
No,49,tertiary,Female,1
No,34,secondary,Female,0
No,56,primary,Female,1
No,17,tertiary,Female,0
No,44,tertiary,Female,3
No,22,primary,Female,1
No,30,unknown,Female,0
No,62,primary,Female,1
No,60,primary,Female,1
No,54,secondary,Female,1
No,32,primary,Female,0
No,61,primary,Female,1
No,51,tertiary,Female,0
No,36,primary,Female,3
No,62,tertiary,Female,3
No,29,tertiary,Female,0
No,60,tertiary,Female,0
No,36,tertiary,Female,0
No,49,secondary,Female,1
No,47,unknown,Female,0
No,49,unknown,Female,2
No,48,primary,Female,2
No,43,tertiary,Female,2
No,26,primary,Female,0
No,32,tertiary,Female,2
No,56,secondary,Female,1
No,52,secondary,Female,1
No,53,tertiary,Female,2
No,38,secondary,Female,2
No,33,primary,Female,0
No,24,primary,Female,0
No,54,unknown,Female,2
No,16,tertiary,Female,0
No,50,secondary,Female,2
No,26,unknown,Female,0
No,42,unknown,Female,0
No,43,unknown,Female,1
No,49,primary,Female,0
No,36,secondary,Female,0
No,25,primary,Female,0
No,28,tertiary,Female,0
No,17,tertiary,Female,0
No,53,unknown,Female,0
No,51,secondary,Female,2
No,49,tertiary,Female,3
No,39,secondary,Female,0
No,35,unknown,Female,0
No,36,tertiary,Female,2
No,34,secondary,Female,1
No,33,unknown,Female,0
Yes,58,tertiary,Female,1
No,43,tertiary,Female,0
No,51,unknown,Female,1
